driver,corner,brake_start_m,brake_end_m,brake_length_m,apex_speed_kmh,apex_position_m
LEC,3,758.7,901.5,142.7,115.0,901.5
LEC,4,970.5,1026.6,56.1,85.0,1020.0
LEC,6,1843.2,1960.4,117.2,164.0,1960.4
LEC,7,2067.4,2133.1,65.7,112.0,2133.1
LEC,9,2971.2,3029.7,58.5,284.0,3029.7
LEC,12,3790.6,3835.8,45.3,248.0,3835.8
LEC,13,3902.1,3996.9,94.8,189.0,3996.9
LEC,15,4867.8,4947.7,80.0,235.0,4947.7
LEC,16,5358.5,5460.8,102.3,107.0,5460.8
