gp,pair,driver,strategy,total_time_s,is_optimal
Las Vegas Grand Prix,NOR_vs_PIA,PIA,1-stop mid,4886.87,False
Las Vegas Grand Prix,NOR_vs_PIA,PIA,1-stop late,4876.9,False
Las Vegas Grand Prix,NOR_vs_PIA,PIA,2-stop equal,4966.19,False
Las Vegas Grand Prix,NOR_vs_PIA,PIA,2-stop early,4962.03,False
Las Vegas Grand Prix,NOR_vs_LEC,NOR,1-stop early,4846.22,True
Las Vegas Grand Prix,NOR_vs_LEC,NOR,1-stop mid,4855.51,False
Las Vegas Grand Prix,NOR_vs_LEC,NOR,1-stop late,4846.22,False
Las Vegas Grand Prix,NOR_vs_LEC,NOR,2-stop equal,4930.94,False
Las Vegas Grand Prix,NOR_vs_LEC,NOR,2-stop early,4927.07,False
Las Vegas Grand Prix,NOR_vs_LEC,LEC,1-stop early,4887.73,True
Las Vegas Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4895.39,False
Las Vegas Grand Prix,NOR_vs_LEC,LEC,1-stop late,4887.73,False
Las Vegas Grand Prix,NOR_vs_LEC,LEC,2-stop equal,4961.45,False
Las Vegas Grand Prix,NOR_vs_LEC,LEC,2-stop early,4958.26,False
Qatar Grand Prix,NOR_vs_PIA,NOR,1-stop early,4958.74,True
Qatar Grand Prix,NOR_vs_PIA,NOR,1-stop mid,4968.82,False
Qatar Grand Prix,NOR_vs_PIA,NOR,1-stop late,4961.26,False
Qatar Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5039.62,False
Qatar Grand Prix,NOR_vs_PIA,NOR,2-stop early,5036.2,False
Qatar Grand Prix,NOR_vs_PIA,PIA,1-stop early,4936.97,True
Qatar Grand Prix,NOR_vs_PIA,PIA,1-stop mid,4945.01,False
Qatar Grand Prix,NOR_vs_PIA,PIA,1-stop late,4938.98,False
Qatar Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5005.94,False
Qatar Grand Prix,NOR_vs_PIA,PIA,2-stop early,5003.21,False
Qatar Grand Prix,NOR_vs_LEC,NOR,1-stop early,4958.74,True
Qatar Grand Prix,NOR_vs_LEC,NOR,1-stop mid,4968.82,False
Qatar Grand Prix,NOR_vs_LEC,NOR,1-stop late,4961.26,False
Qatar Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5039.62,False
Qatar Grand Prix,NOR_vs_LEC,NOR,2-stop early,5036.2,False
Qatar Grand Prix,NOR_vs_LEC,LEC,1-stop early,4417.9,True
Qatar Grand Prix,NOR_vs_LEC,LEC,1-stop mid,4474.78,False
Qatar Grand Prix,NOR_vs_LEC,LEC,1-stop late,4432.12,False
Qatar Grand Prix,NOR_vs_LEC,LEC,2-stop equal,4772.0,False
Qatar Grand Prix,NOR_vs_LEC,LEC,2-stop early,4752.7,False
Abu Dhabi Grand Prix,NOR_vs_PIA,NOR,1-stop early,5224.21,True
Abu Dhabi Grand Prix,NOR_vs_PIA,NOR,1-stop mid,5224.65,False
Abu Dhabi Grand Prix,NOR_vs_PIA,NOR,1-stop late,5224.33,False
Abu Dhabi Grand Prix,NOR_vs_PIA,NOR,2-stop equal,5249.16,False
Abu Dhabi Grand Prix,NOR_vs_PIA,NOR,2-stop early,5248.97,False
Abu Dhabi Grand Prix,NOR_vs_PIA,PIA,1-stop early,5213.22,True
Abu Dhabi Grand Prix,NOR_vs_PIA,PIA,1-stop mid,5214.09,False
Abu Dhabi Grand Prix,NOR_vs_PIA,PIA,1-stop late,5213.45,False
Abu Dhabi Grand Prix,NOR_vs_PIA,PIA,2-stop equal,5241.08,False
Abu Dhabi Grand Prix,NOR_vs_PIA,PIA,2-stop early,5240.71,False
Abu Dhabi Grand Prix,NOR_vs_LEC,NOR,1-stop early,5224.21,True
Abu Dhabi Grand Prix,NOR_vs_LEC,NOR,1-stop mid,5224.65,False
Abu Dhabi Grand Prix,NOR_vs_LEC,NOR,1-stop late,5224.33,False
Abu Dhabi Grand Prix,NOR_vs_LEC,NOR,2-stop equal,5249.16,False
Abu Dhabi Grand Prix,NOR_vs_LEC,NOR,2-stop early,5248.97,False
Abu Dhabi Grand Prix,NOR_vs_LEC,LEC,1-stop early,5237.23,False
Abu Dhabi Grand Prix,NOR_vs_LEC,LEC,1-stop mid,5236.84,True
Abu Dhabi Grand Prix,NOR_vs_LEC,LEC,1-stop late,5237.13,False
Abu Dhabi Grand Prix,NOR_vs_LEC,LEC,2-stop equal,5256.6,False
Abu Dhabi Grand Prix,NOR_vs_LEC,LEC,2-stop early,5256.77,False
